Title,Type,Description,Question (Gujarati),Question (English),Option A,Option B,Option C,Option D,Correct Answer (Gujarati)
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતની રાજધાની શું છે?,What is the capital of India?,અમદાવાદ,દિલ્લી,મુંબઈ,ચેન્નાઈ,દિલ્લી
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો મહાસાગર કયો છે?,Which is the largest ocean in the world?,અટલાન્ટિક,હિન્દ મહાસાગર,પ્રશાંત મહાસાગર,આર્કટિક,પ્રશાંત મહાસાગર
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય પક્ષી કયો છે?,What is the national bird of India?,મોર,કબૂતર,કાગડો,ચકલી,મોર
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,સૂર્યમાળાનો સૌથી મોટો ગ્રહ કયો છે?,Which is the largest planet in the solar system?,શુક્ર,મંગળ,ગુરુ,શનિ,ગુરુ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,રાષ્ટ્રગીત 'જન ગણ મન' કોણે લખ્યું?,Who wrote the national anthem 'Jana Gana Mana'?,બંકિમચંદ્ર,રવીન્દ્રનાથ ટાગોર,મહાત્મા ગાંધી,સુભાષચંદ્ર બોઝ,રવીન્દ્રનાથ ટાગોર
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય ફૂલ કયો છે?,What is the national flower of India?,ગુલાબ,કમળ,સૂર્યમુખી,મોગરો,કમળ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય રમત કયો છે?,What is the national game of India?,હોકી,ક્રિકેટ,કબડ્ડી,ફૂટબોલ,હોકી
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી ઊંચો પર્વત કયો છે?,Which is the highest mountain in the world?,એવરેસ્ટ,કાંચેંજંગા,નંદાદેવી,અનાપુર્ણા,એવરેસ્ટ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,પृथ્વી પર કેટલા ખંડ છે?,How many continents are there on Earth?,5,6,7,8,7
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી નાનો દેશ કયો છે?,Which is the smallest country in the world?,નેપાળ,વેટિકન સિટી,ભૂતાન,માલદીવ,વેટિકન સિટી
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,સિંહ કયા નામથી ઓળખાય છે?,By which name is the lion known?,જંગલનો રાજા,જંગલનો મિત્ર,જંગલનો દેવ,જંગલનો શિકારી,જંગલનો રાજા
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો પ્રથમ વડાપ્રધાન કોણ હતો?,Who was the first Prime Minister of India?,મહાત્મા ગાંધી,જવાહરલાલ નેહરુ,સરદાર પટેલ,લાલ બહાદુર શાસ્ત્રી,જવાહરલાલ નેહરુ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય પ્રાણી કયો છે?,What is the national animal of India?,હાથી,વાઘ,સિંહ,ચિત્તો,વાઘ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વમાં સૌથી વધુ બોલાતી ભાષા કઈ છે?,Which is the most spoken language in the world?,અંગ્રેજી,ચાઇનીઝ,હિન્દી,સ્પેનિશ,ચાઇનીઝ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો દેશ કયો છે?,Which is the largest country in the world?,ભારત,યુએસએ,રશિયા,કેનેડા,રશિયા
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ચંદ્ર પર પ્રથમ કોણ ગયું?,Who was the first person to go on the moon?,નીલ આર્મસ્ટ્રોંગ,યુરી ગાગારિન,કલ્પના ચાવલા,બઝ એલ્ડ્રિન,નીલ આર્મસ્ટ્રોંગ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,માનવ શરીરમાં કેટલા હાડકાં હોય છે?,How many bones are there in the human body?,206,208,201,210,206
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય વૃક્ષ કયો છે?,What is the national tree of India?,પીપળ,વટ વૃક્ષ,આંબો,નાળિયેર,વટ વૃક્ષ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,સૌથી ઝડપી દોડનાર પ્રાણી કયું છે?,Which is the fastest running animal?,વાઘ,ચિત્તો,ઘોડો,સિંહ,ચિત્તો
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો રણ કયો છે?,Which is the largest desert in the world?,સહારા,થાર,ગોબી,કાલાહારી,સહારા
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,સૂર્યમાળા માં કેટલા ગ્રહ છે?,How many planets are there in the solar system?,7,8,9,10,8
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,પાણીનો રાસાયણિક સૂત્ર શું છે?,What is the chemical formula of water?,CO2,O2,H2O,NaCl,H2O
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો ટાપુ કયો છે?,Which is the largest island in the world?,ગ્રીનલૅન્ડ,શ્રીલંકા,મેડાગાસ્કર,જાપાન,ગ્રીનલૅન્ડ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય ધ્વજ કોણે બનાવ્યો?,Who designed the national flag of India?,પિંગળી વેંકૈયા,જવાહરલાલ નેહરુ,મહાત્મા ગાંધી,રવિન્દ્રનાથ ટાગોર,પિંગળી વેંકૈયા
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનું રાષ્ટ્રીય ગીત કયું છે?,What is the national song of India?,સારે જહાં સે અચ્છા,વંદે માતરમ,જન ગણ મન,જય હો,વંદે માતરમ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો જલપ્રપાત કયો છે?,Which is the largest waterfall in the world?,નાયાગ્રા,એન્જલ ફૉલ્સ,વિક્ટોરિયા,જોગ ફૉલ્સ,એન્જલ ફૉલ્સ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો પક્ષી કયો છે?,Which is the largest bird in the world?,બટેર,શાહમૃગ,મોર,ગરૂડ,શાહમૃગ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો નદી કયો છે?,Which is the longest river in the world?,નાઇલ,ગંગા,અમેઝોન,યમુના,નાઇલ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતની ચલણી નોટ પર કયું પ્રાણી છે?,Which animal is on the Indian currency note?,સિંહ,વાઘ,હાથી,મોર,સિંહ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી ગરમ રણ કયો છે?,Which is the hottest desert in the world?,સહારા,થાર,ગોબી,કાલાહારી,સહારા
