Title,Type,Description,Question (Gujarati),Question (English),Option 1,Option 2,Option 3,Option 4,Correct Answer
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
Food Quiz,Quiz,Gujarati food culture,કયો ગુજરાતી નાસ્તો પીળો અને સ્પોંજી હોય છે?,Which Gujarati snack is yellow and spongy?,ઢોકળા,ફાફડા,ખાખરા,થેપલા,ઢોકળા
Festival Quiz,Quiz,Gujarati festivals,કયો તહેવાર નવ રાત સુધી ગરબા માટે પ્રખ્યાત છે?,Which festival is famous for 9 nights of Garba dance?,દિવાળી,નવરાત્રી,હોળી,ઉત્તરાયણ,નવરાત્રી
Greeting Quiz,Quiz,Daily conversations,ગુજરાતીમાં કોઈને મળતા સમયે 'કેમ છો?' નો અર્થ શું છે?,"When meeting someone in Gujarati, what does 'Kem Cho?' mean?",તમે કેમ છો?,તમારું નામ શું છે?,તમારી ઉંમર કેટલી છે?,તમારે ક્યાં જવું છે?,તમે કેમ છો?
City Quiz,Quiz,Gujarati cities,કઈ જગ્યા 'સાબરમતી આશ્રમ' માટે જાણીતી છે?,Which city is famous for Sabarmati Ashram?,અમદાવાદ,સુરત,રાજકોટ,વડોદરા,અમદાવાદ
Proverb Quiz,Quiz,Gujarati proverbs,'જ્યાં ઈચ્છા ત્યાં માર્ગ' નો અંગ્રેજીમાં અર્થ શું થાય છે?,What does the Gujarati proverb 'Jya Iccha Tya Marg' mean in English?,"Where there is will, there is way",Hard work always fails,Silence is golden,Time waits for none,"Where there is will, there is way"
